"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10157665, SEN S/N: 10157665)","Coupler Detached (LGR S/N: 10157665)","Coupler Attached (LGR S/N: 10157665)","Host Connected (LGR S/N: 10157665)","Stopped (LGR S/N: 10157665)","End Of File (LGR S/N: 10157665)"
1,11/03/14 03:00:00 PM,50.664,Logged,,,,
2,11/03/14 03:10:00 PM,50.002,,,,,
3,11/03/14 03:20:00 PM,49.516,,,,,
4,11/03/14 03:30:00 PM,49.116,,,,,
5,11/03/14 03:40:00 PM,48.983,,,,,
6,11/03/14 03:50:00 PM,48.805,,,,,
7,11/03/14 04:00:00 PM,48.227,,,,,
8,11/03/14 04:10:00 PM,47.691,,,,,
9,11/03/14 04:20:00 PM,47.334,,,,,
10,11/03/14 04:30:00 PM,46.661,,,,,
11,05/01/15 09:41:34 AM,,,Logged,Logged,,
